index,source,translation
469,presione <F1><F2> para ajustar el ,dipadam semasa masuk kesan        
470,ciclo de trabajo de la onda cuadra,isyarat.                          
471,"da, presione la tecla <Fn> para in",                                  
472,gresar a la detección de señal. La,                                    
473, salida de señal analógica no se  ,                                    
474,apagará al ingresar a la detección,                                    
475, de señal.                        ,                                   
476,11.Prueba de pulso de encendido   ,11.Ujian nadi nyalaan             
477,Esta función es adecuada para la  ,Fungsi ini sesuai untuk ujian      
478,prueba de señal de alto voltaje de,isyarat voltan tinggi nyalaan enjin
479, encendido de motores de gasolina ,"petrol kereta dan motosikal, dan  "
480,"de automóviles y motocicletas, y  ",mengesan isyarat voltan tinggi     
481,detecta la señal de alto voltaje  ,nyalaan kenderaan. Sambung sensor  
482,de encendido de vehículos. Conecte,"isyarat nyalaan, masuk ke antara   "
483, el sensor de la señal de encendid,"muka ujian, dan letakkan kepala    "
484,"o, ingrese a la interfaz de prueba",sensor (kawasan kesan isyarat)    
485, y coloque la cabeza del sensor (á,berhampiran wayar voltan tinggi    
486,rea de detección de señal) cerca  ,isyarat nyalaan kenderaan untuk     
487,de la línea de alto voltaje de la ,memaparkan bentuk gelombang isyarat
488,señal de encendido del vehículo pa,nyalaan. Jika kenderaan dinyalakan  
489,ra mostrar la forma de onda de la ,terus dan tiada wayar voltan      
490,señal de encendido. Si se trata   ,"tinggi luar, kepala sensor boleh   "
491,de un vehículo que se enciende dir,diletakkan berhampiran gegelung    
492,"ectamente, no hay una línea extern","voltan tinggi nyalaan, yang juga   "
493,"a de alto voltaje, la cabeza del  ",boleh memaparkan bentuk gelombang 
494,sensor puede estar cerca de la bob,isyarat nyalaan; pada masa ini    
495,"ina de alto voltaje de encendido, ","kekuatan isyarat agak kecil,      "
496,que puede mostrar la forma de onda,perhatikan dengan teliti. Tekan   
497," de la señal de encendido, en este",butang <F1> untuk menukar mod      
498, momento la intensidad de la señal,enjin: boleh tukar ke mod 4 lejang 
499," será relativamente pequeña, prest",/ 2 lejang / distributor. Enjin     
500,e atención a la observación. Presi,"kereta biasa ialah 4 lejang,        "
501,one la tecla <F1> para cambiar al ,sesetengah enjin motosikal ialah 2
502,"modo de motor, puede cambiar al mo","lejang, dan enjin lama menggunakan"
503,do de 4 trazos / 2 trazos / centra,distributor untuk mengagihkan     
504,"lita, los motores de automóviles  ",isyarat voltan tinggi. Dalam mod 4 
505,comúnmente utilizados son de 4 tra,"lejang / 2 lejang, kelajuan enjin  "
506,"zos, algunos motores de motociclet",boleh dipaparkan. Tekan <HOLD>    
507,"as son de 2 trazos, los motores má",untuk mengunci keadaan semasa.     
508,s antiguos usarán una centralita  ,Dalam keadaan ukur normal: <UP>    
509,para distribuir señales de alto vo,nilai pembahagi paparan voltan     
510,ltaje. en el modo de 4 trazos / 2 ,"berkurang, <DOWN> nilai pembahagi "
511,"trazos, puede mostrar la velocidad","paparan voltan bertambah, <LEFT>  "
512, del motor. Presione <HOLD> para  ,"masa imbasan bertambah, <RIGHT>   "
513,bloquear el estado actual. En el  ,masa imbasan berkurang.           
514,estado de medición normal: <Arriba,                                   
515,">, el valor del índice de visualiz",                                   
516,"ación de voltaje disminuye, <Abajo",                                   
517,">, el valor del índice de visualiz",                                   
518,ación de voltaje aumenta. <Izquier,                                   
519,"do> el tiempo de escaneo aumenta, ",                                  
520,<Derecho> el tiempo de escaneo dis,                                  
521,minuye.                           ,                                  
522,12.Detección de datos de K/Lin    ,12.Kesan data K/Lin                
523,Esta función puede detectar los da,Fungsi ini boleh mengesan data     
524,tos de comunicación de la línea K ,"komunikasi talian K kenderaan,      "
525,"del vehículo, adecuada para detect",sesuai untuk mengesan sama ada     
526,ar si la línea de comunicación del,talian komunikasi kenderaan         
527, vehículo tiene transmisión de señ,mempunyai penghantaran isyarat.      
528,"al, conectar la línea de detección","Sambung kabel kesan utama, sambung  "
529," principal, conectar el cable de  ",wayar ground isyarat ke pin ground
530,puesta a tierra de la señal al pin,kenderaan (seperti lubang No.5     
531, de puesta a tierra del vehículo  ,"OBD-II), atau sambung ke badan     "
532,(como el orificio No.5 de OBD-II) ,"kenderaan apabila sukar dicapai,  "
533,y conectarlo a la plancha cuando  ,dan sambung talian isyarat talian 
534,"es inconveniente acceder, y conect",K ke pin isyarat talian K         
535,ar la línea de señal de la línea K,kenderaan (seperti lubang No.7       
536, al pin de señal de la línea K del,OBD-II). Masuk ke item fungsi untuk 
537, vehículo (como el orificio No.7  ,memaparkan data yang sedang        
538,de OBD-II). Ingrese al ítem de fun,diterima sebagai nilai heks. Tekan 
539,ción para mostrar los datos recibi,"<F1> untuk memadam data dipaparkan,"
540,"dos actualmente, que es un valor  ",tekan butang arah <LEFT> dan      
541,hexadecimal. Presione <F1> para bo,<RIGHT> untuk melaras kadar baud  
542,"rrar los datos indicados, presione",komunikasi; kadar baud isyarat    
543, las teclas de dirección izquierda,mesti sepadan dengan kadar baud    
544, y derecha para ajustar la velocid,yang ditetapkan untuk menerima    
545,"ad en baudios de comunicación, y  ",data yang betul. Fungsi ini boleh  
546,la velocidad en baudios de la seña,digunakan bersama dekoder          
547,l puede ser coherente con la veloc,profesional untuk menyemak        
548,idad en baudios establecida para  ,kerosakan talian komunikasi.      
549,recibir los datos correctos. Esta ,                                  
550,función se puede utilizar con deco,                                   
551,dificadores profesionales para ver,                                  
552,ificar fallos en la línea de comun,                                   
553,icación.                          ,                                   
554,13.Detección de datos de línea CAN,13.Kesan data talian CAN            
555,Esta función puede detectar la com,Fungsi ini boleh mengesan          
556,unicación de datos del bus CAN del,"komunikasi data CAN bus kenderaan, "
557," vehículo, adecuada para detectar ",sesuai untuk mengesan sama ada     
558,si la línea de comunicación del ve,talian komunikasi kenderaan         
559,"hículo tiene transmisión de señal,",mempunyai penghantaran isyarat.      
560,conectar la línea de detección pri,"Sambung kabel kesan utama, sambung  "
561,"ncipal, conectar el cable de puest",wayar ground isyarat ke pin ground
562,a a tierra de la señal al pin de  ,kenderaan (seperti lubang No.5     
563,puesta a tierra del vehículo (como,"OBD-II), sambung ke badan kenderaan"
564," el orificio No.5 de OBD-II), cone","apabila sukar dicapai, sambung    "
565,ctarlo a la plancha cuando es inco,talian isyarat CAN+ ke pin isyarat
566,"nveniente acceder, conectar la lín",CAN+ kenderaan (seperti lubang No.6
567,ea de señal CAN + al pin de señal ,"OBD-II), dan sambung talian isyarat "
568,CAN + del vehículo (como el orific,CAN- ke pin isyarat CAN- kenderaan 
569,io No.6 de OBD-II) y conectar la  ,(seperti lubang No.14 OBD-II).    
570,línea de señal CAN- al pin de seña,Masuk ke item fungsi untuk memaparkan
571,l CAN- del vehículo (como el orifi,data yang sedang diterima sebagai  
572,cio No.14 de OBD-II). Ingrese al  ,nilai heks. Tekan <F1> untuk      
573,ítem de función para mostrar los  ,"memadam data dipaparkan, tekan      "
574,"datos recibidos actualmente, que  ",butang arah <LEFT> dan <RIGHT>    
575,es un valor hexadecimal. Presione ,untuk melaras kadar baud          
576,<F1> para borrar los datos indica ,komunikasi; data hanya dapat      
577,"dos, presione las teclas de direc ",diterima apabila kadar baud       
578,ción izquierda y derecha para aju ,isyarat sepadan dengan kadar baud  
579,star la velocidad en baudios de   ,yang ditetapkan. Fungsi ini boleh 
580,"comunicación, y los datos solo se ",digunakan bersama dekoder          
581, pueden recibir cuando la velocid ,profesional untuk menyemak        
582,ad en baudios de la señal es cons ,kerosakan talian komunikasi.       
583,istente con la velocidad en baudi ,                                  
584,os establecida. Esta función se   ,                                   
585,puede utilizar con decodificadore ,                                  
586,s profesionales para verificar fa ,                                  
587,llos en la línea de comunicación. ,                                    
588,14.Medición de frecuencia         ,14.Ukur frekuensi                  
589,Ingrese al ítem de función del med,Masuk ke item fungsi ukur frekuensi;
590,"idor de frecuencia, muestre el val",nilai ukur semasa probe           
591,"or medido del sondeo actual, presi",dipaparkan. Tekan <HOLD> untuk    
592,one <HOLD> para bloquear el estado,"mengunci keadaan semasa, tekan    "
593," actual, presione <Fn> para cambia",<Fn> untuk tukar ke mod osiloskop.
594,r al modo osciloscopio. El rango  ,Julat ukur frekuensi sehingga     
595,de medición de frecuencia es de ha,"1MHz, dan voltan isyarat dikawal   "
596,"sta 1MHz, y el voltaje de la señal",secara adaptif.                    
597, es de control adaptativo.        ,                                  
598,1.Pantalla de inicio              ,1.Skrin mula                      
599,"Encienda, muestre la interfaz de e","Hidupkan peranti, skrin mula      "
600,"ncendido, presione cualquier tecla",dipaparkan; tekan sebarang butang 
601,"para ingresar al menú principal,la",untuk masuk ke menu utama. Penjuru 
602,esquina superior derecha de la pan,kanan atas skrin memaparkan bateri
603,talla muestra la batería y el esta,dan status pengecasan. Tekan butang
604,"do de carga, presione la tecla de ","arah untuk menggerakkan kursor,   "
605,"dirección para mover el cursor, pr",tekan <OK> untuk masuk ke item     
606,esione la tecla <OK> para ingresar,"fungsi, tekan <ESC> untuk keluar  "
607,"al ítem de función, presione la te",dari fungsi semasa. Tekan butang    
608,cla <ESC> para salir de la función,lampu untuk hidup atau padam lampu 
609,"actual, presione la tecla de luz  ","latar, tekan <HOLD> untuk mengunci"
610,para encender / apagar la luz de  ,"nilai paparan semasa ujian, tekan "
611,"iluminación, presione la tecla <HO",<F1><F2> untuk beroperasi mengikut 
612,LD> para bloquear el valor de visu,"fungsi, dan tekan <Fn> untuk      "
613,"alización en la prueba, presione  ",menukar mod fungsi dalam item      
614,la tecla <F1><F2> para operar segú,fungsi.                            
615,"n las funciones, presione la tecla",                                  
616, <Fn> para cambiar el modo de func,                                  
617, ión en el ítem de función.       ,                                     
618,2.Medición de voltaje             ,2.Ukur voltan                      
619,Ingrese al ítem de función de medi,Masuk ke item fungsi ukur voltan;   
620,"ción de voltaje, muestre el valor ",nilai ukur semasa probe dipaparkan.
621,"de medición del sondeo actual, pre",Tekan <HOLD> untuk mengunci nilai  
622,sione <HOLD> para bloquear el valo,"ukur, tekan <F1> untuk sifar      "
623,"r medido, presione <F1> para volve",semula dan pembetulan. Semasa     
624,"r a cero y corregir. Al usar, prim","guna, pintaskan dahulu probe merah"
625,ero conecte en cortocircuito el so,"dan hitam, tahan, kemudian tekan  "
626,"ndeo rojo y negro, manténgalo pres",<F1> sekali lagi. Tekan <Fn> untuk 
627,"ionado, presione <F1> nuevamente. ",menukar mod fungsi: paparan voltan
628,Presione <Fn> para cambiar el modo,DC / voltan AC / bentuk gelombang.
629,"de función, presione <Fn>puede cam","Julat ukur voltan sehingga 1000V,  "
630,biar a visualización de voltaje   ,"voltan DC maksimum 1000V, voltan AC"
631,DC / voltaje AC / forma de onda.  ,"maksimum 700V, dan julat bertukar "
632,El rango de medición de voltaje es,secara automatik.                  
633,"de hasta 1000V, el voltaje máximo ",                                   
634,"DC es de 1000V, el voltaje máximo ",                                   
635,AC es de 700V y el rango se convie,                                  
636,rte automáticamente.              ,                                   
637,3.Medición de corriente           ,3.Ukur arus                        
638,Ingrese al ítem de función de medi,Masuk ke item fungsi ukur arus;     
639,"ción de corriente, muestre la medi",bacaan semasa probe dipaparkan.    
640,"da actual del sondeo, presione <HO",Tekan <HOLD> untuk mengunci nilai 
641,"LD> para bloquear el valor medido,","ukur, tekan <F1> untuk sifar      "
642,presione <F1> para volver a cero y,semula dan pembetulan. Semasa     
643,"corregir. Al usar, primero conecte","guna, pintaskan dahulu probe merah"
644,en cortocircuito el sondeo rojo y ,"dan hitam, tahan, kemudian tekan  "
645,"negro, manténgalo presionado, pres",<F1> sekali lagi. Tekan <Fn> untuk 
646,ione <F1>nuevamente. Presione <Fn>,menukar mod fungsi: arus DC / arus
647," para cambiar el modo de función, ",AC. Tekan <F2> untuk menukar soket 
648,presione <Fn> para cambiar a corri,ukuran: mA (hijau) bermaksud probe
649,ente DC / corriente AC. Presione  ,merah dimasukkan dari soket mA    
650,<F2> para cambiar al conector de  ,"untuk mengukur, dan 20A (kuning)  "
651,"medición, mA (verde) significa que",bermaksud probe merah dimasukkan   
652,el sondeo rojo se inserta desde el,dari soket 20A untuk mengukur.    
653,"conector mA para medir, y 20A (ama",Julat ukur arus ialah 0-200mA.    
654,rillo) significa que el sondeo roj,                                  
655,o se inserta desde el conector 20A,                                  
656,para medir. El rango de medición  ,                                   
657,de corriente es 0-200mA.          ,                                  
658,4.Medición de resistencia         ,4.Ukur rintangan                   
659,Ingrese al ítem de función de medi,Masuk ke item fungsi ukur rintangan;
660,"ción de resistencia, muestre la me",bacaan semasa probe dipaparkan.    
661,"dida actual del sondeo, presione  ",Tekan <HOLD> untuk mengunci nilai 
662,<HOLD> para bloquear el valor medi,"ukur, tekan <F1> untuk sifar      "
663,"do, presione <F1> para volver a ce",semula dan pembetulan. Semasa     
664,"ro y corregir. Al usar, primero co","guna, pintaskan dahulu probe merah"
665,necte en cortocircuito el sondeo  ,"dan hitam, tahan, kemudian tekan  "
666,"rojo y negro, manténgalo presiona ",<F1> sekali lagi. Tekan <Fn> untuk 
667,"do, presione <F1> nuevamente.     ",menukar mod fungsi: paparan       
668,Presione <Fn>para cambiar el modo ,rintangan / paparan voltan diod.  
669,"de función, presione <Fn>para camb",Fungsi ini mengukur nilai rintangan
670,iar a la visualización de resisten,dan susut voltan hadapan diod      
671,cia / visualización de voltaje de ,serentak tanpa penukaran. Julat    
672,diodo.         Esta función mide  ,ukur rintangan sehingga nilai      
673,el valor de resistencia y la caída,"maksimum 5Mohm, dan julat bertukar "
674, de voltaje directo del diodo al  ,secara automatik. Susut voltan    
675,"mismo tiempo, sin conversión, el  ",hadapan diod sehingga 2.4V. Apabila
676,rango de medición de resistencia  ,rintangan yang diukur kurang       
677,es un valor de resistencia máximo ,"daripada 20 ohm, bunyi amaran akan "
678,de 5MΩ. El rango se convierte aut ,berbunyi untuk menandakan keadaan  
679,omáticamente. La caída de voltaje ,"rintangan rendah, memudahkan        "
680, directo del diodo es de hasta    ,menentukan sama ada talian berada 
681,2.4V.  Cuando la resistencia medi ,dalam litar pintas semasa         
682,"da es inferior a 20 ohmios, se em ",pemeriksaan litar.                
683,itirá un sonido de consejo para   ,                                   
684,indicar el estado de baja resiste ,                                  
685,"ncia, lo cual es conveniente para ",                                  
686, determinar si la línea está en   ,                                    
687,cortocircuito durante la inspecci ,                                  
688,ón del circuito.                  ,                                   
689,5.Osciloscopio                    ,5.Osiloskop                       
690,Ingrese al ítem de función del osc,Masuk ke item fungsi osiloskop;     
691,"iloscopio, muestre la forma de ond",bentuk gelombang nilai ukur semasa
692,a del valor medido del sondeo actu,probe dipaparkan. Tekan <HOLD>    
693,"al, presione <HOLD> para bloquear ",untuk mengunci keadaan semasa.    
694,"el estado actual, bloquee el estad",Dalam keadaan ukur berkunci: tekan
695,o de medición: presione <Arriba>  ,<UP> untuk menggerakkan bentuk     
696,para que la forma de onda se mueve,"gelombang ke atas, tekan <DOWN> ke"
697," hacia arriba, presione <Abajo> pa","bawah, tekan <LEFT> ke kiri, tekan"
698,ra que la forma de onda se mueve  ,<RIGHT> ke kanan. Dalam keadaan   
699,"hacia abajo, presione <Izquierdo> ",ukur normal: <UP> nilai pembahagi 
700,para que la forma de onda se mueve,"paparan voltan berkurang, <DOWN>  "
701," hacia la izquierda, presione <Der",nilai pembahagi paparan voltan    
702,echa> para que la forma de onda se,"bertambah, <LEFT> masa imbasan    "
703, mueve hacia la derecha. En estado,"bertambah, <RIGHT> masa imbasan   "
704," de medición normal: <Arriba>, el ",berkurang. <F1> anjakan positif    
705,valor del índice de visualización ,"aras trigger, <F2> anjakan negatif  "
706,"de voltaje disminuye. <Abajo>, el ",aras trigger. Julat ukur bentuk   
707,valor del índice de visualización ,"gelombang voltan sehingga 1000V, dan"
708,"de voltaje aumenta. <Izquierdo>,  ",julat bertukar secara automatik.  
709,el tiempo de escaneo aumenta. <De ,                                  
710,"recho>, el tiempo de escaneo dism ",                                  
711,"inuye. <F1>, desplazamiento posit ",                                  
712,"ivo del nivel de disparo. <F2>,   ",                                  
713,desplazamiento negativo del nivel ,                                  
714, de disparo. El rango de medición ,                                   
715, de la forma de onda de voltaje   ,                                  
716,"es de hasta 1000V, y el rango se  ",                                  
717,convierte automáticamente.        ,                                   
718,6.Prueba de pulso de encendido    ,6.Ujian nadi nyalaan              
719,Esta función es adecuada para la  ,Fungsi ini sesuai untuk ujian      
720,prueba de señal de alto voltaje de,isyarat voltan tinggi nyalaan enjin
721, encendido de motores de gasolina ,"petrol kereta dan motosikal, dan  "
722,"de automóviles y motocicletas, y  ",mengesan isyarat voltan tinggi     
723,detecta la señal de alto voltaje  ,nyalaan kenderaan. Sambung sensor  
724,de encendido de vehículos. Conecte,"isyarat nyalaan, masuk ke antara   "
725, el sensor de la señal de encendid,"muka ujian, dan letakkan kepala    "
726,"o, ingrese a la interfaz de prueba",sensor (kawasan kesan isyarat)    
727, y coloque la cabeza del sensor (á,berhampiran wayar voltan tinggi    
728,rea de detección de señal) cerca  ,isyarat nyalaan kenderaan untuk     
729,de la línea de alto voltaje de la ,memaparkan bentuk gelombang isyarat
730,señal de encendido del vehículo pa,nyalaan. Jika kenderaan dinyalakan  
731,ra mostrar la forma de onda de la ,terus dan tiada wayar voltan      
732,señal de encendido. Si se trata   ,"tinggi luar, kepala sensor boleh   "
733,de un vehículo que se enciende dir,diletakkan berhampiran gegelung    
734,"ectamente, no hay una línea extern","voltan tinggi nyalaan, yang juga   "
735,"a de alto voltaje, la cabeza del  ",boleh memaparkan bentuk gelombang 
736,sensor puede estar cerca de la bob,isyarat nyalaan; pada masa ini    
737,"ina de alto voltaje de encendido, ","kekuatan isyarat agak kecil,      "
738,que puede mostrar la forma de onda,perhatikan dengan teliti. Tekan   
739," de la señal de encendido, en este",butang <F1> untuk menukar mod      
740, momento la intensidad de la señal,enjin: boleh tukar ke mod 4 lejang 
741," será relativamente pequeña, prest",/ 2 lejang / distributor. Enjin     
742,e atención a la observación. Presi,"kereta biasa ialah 4 lejang,        "
743,one la tecla <F1> para cambiar al ,sesetengah enjin motosikal ialah 2
744,"modo de motor, puede cambiar al mo","lejang, dan enjin lama menggunakan"
745,do de 4 trazos / 2 trazos / centra,distributor untuk mengagihkan     
746,"lita, los motores de automóviles  ",isyarat voltan tinggi. Dalam mod 4 
747,comúnmente utilizados son de 4 tra,"lejang / 2 lejang, kelajuan enjin  "
748,"zos, algunos motores de motociclet",boleh dipaparkan. Tekan <HOLD>    
749,"as son de 2 trazos, los motores má",untuk mengunci keadaan semasa.     
750,s antiguos usarán una centralita  ,Dalam keadaan ukur normal: <UP>    
751,para distribuir señales de alto vo,nilai pembahagi paparan voltan     
752,ltaje. en el modo de 4 trazos / 2 ,"berkurang, <DOWN> nilai pembahagi "
753,"trazos, puede mostrar la velocidad","paparan voltan bertambah, <LEFT>  "
754, del motor. Presione <HOLD> para  ,"masa imbasan bertambah, <RIGHT>   "
755,bloquear el estado actual. En el  ,masa imbasan berkurang.           
756,estado de medición normal: <Arriba,                                   
757,">, el valor del índice de visualiz",                                   
758,"ación de voltaje disminuye, <Abajo",                                   
759,">, el valor del índice de visualiz",                                   
760,ación de voltaje aumenta. <Izquier,                                   
761,"do> el tiempo de escaneo aumenta, ",                                  
762,<Derecho> el tiempo de escaneo dis,                                  
763,minuye.                           ,                                  
764,7.Medición de frecuencia          ,7.Ukur frekuensi                   
765,Ingrese al ítem de función del med,Masuk ke item fungsi ukur frekuensi;
766,"idor de frecuencia, muestre el val",nilai ukur semasa probe           
767,"or medido del sondeo actual, presi",dipaparkan. Tekan <HOLD> untuk    
768,one <HOLD> para bloquear el estado,"mengunci keadaan semasa, tekan    "
769," actual, presione <Fn> para cambia",<Fn> untuk tukar ke mod osiloskop.
770,r al modo osciloscopio. El rango  ,Julat ukur frekuensi sehingga     
771,de medición de frecuencia es de ha,"1MHz, dan voltan isyarat dikawal   "
772,"sta 1MHz, y el voltaje de la señal",secara adaptif.                    
773, es de control adaptativo.        ,                                  
