index,source_length,source,translation
518,34,"F1> to clear the displayed data,",
519,34,and adjust the communication baud,
520,34,rate with the <←>and<→> keys.Onl,
521,34,y when the signal baud rate is con,
522,34,sistent with the set baud rate can,
523,34,the correct data be received. This,
524,34,function is used with a profession,
525,34,"al decoder, and can check communic",
526,34,ation line failures.,
527,34,14.Frequency Measurement,14.Ukur Frekuensi
528,34,"Enter the frequency measurement,th",Masuk fungsi ukur frekuensi untuk
529,34,e current measurement value is dis,melihat nilai semasa. Tekan <HOLD>
530,34,"played,press <HOLD> to lock the cu","untuk mengunci keadaan semasa, dan"
531,34,"rrent state, press <Fn>to switch",<Fn> untuk tukar ke mod osiloskop.
532,34,to the oscilloscope mode. The freq,Julat frekuensi hingga 1MHz dan
533,34,uency measurement range is up to,voltan isyarat dikawal secara
534,34,"1MHz, and the signal voltage is ad",adaptif.
535,34,aptively controlled.,
536,13,1.Boot Screen,1.Skrin Mula
537,34,"Power on, enter the boot screen, p",Hidupkan peranti dan tunggu skrin
538,34,ress any key to enter the main men,mula. Tekan mana-mana butang untuk
539,34,"u, the battery and charging status",masuk ke menu utama. Status bateri
540,34, are displayed in the upper right,dan pengecasan dipaparkan di
541,34,corner of the screen.Press the dir,penjuru kanan atas. Gunakan butang
542,34,"ection keys to move the cursor,pre","arah untuk gerak kursor, <OK>"
543,34,"ss <OK>to enter functions,<ESC>to","untuk masuk fungsi, dan <ESC>"
544,34,exit.Press light key to turn on/of,untuk keluar. Butang lampu
545,34,"f the light,<HOLD> key to lock the","hidup/matikan lampu, <HOLD>"
546,34," display value during the test,<F1","mengunci nilai bacaan, <F1><F2>"
547,34, ><F2>to operate according to the,"ikut arahan paparan, dan <Fn>"
548,34," prompts, <Fn> to switch the funct",menukar mod fungsi.
549,34, ion mode in the function items.,
550,34,2.Voltage Measurement,2.Ukur Voltan
551,34,Enter the voltage measurement func,Masuk fungsi ukur voltan untuk
552,34,"tion,the current measurement value",melihat bacaan semasa. Tekan
553,34," is displayed,press<HOLD>to lock t",<HOLD> untuk mengunci bacaan dan
554,34,"he measurement value,press<F1>for","<F1> untuk sifar. Semasa guna,"
555,34,"zeroing.When using, short connecte","pintaskan probe merah dan hitam,"
556,34,"d the red and black probe,and hold","tahan, kemudian tekan <F1>. Tekan"
557,34," it, and then press <F1>. <Fn>for",<Fn> untuk tukar mod DC/AC/bentuk
558,34,"switching function mode,press <Fn>",gelombang. Julat voltan hingga
559,34,to switch DC voltage/AC voltage/wa,"1000V; DC maks 1000V, AC maks"
560,34,veform display. The voltage measur,"700V, dan julat bertukar"
561,34,"ement range is up to 1000V, the ma",automatik.
562,34,"x.DC voltage is 1000V, the max.AC",
563,34,"voltage is 700V, and the range is",
564,34,automatically converted.,
565,34,3.Current Measurement,3.Ukur Arus
566,34,Enter the current measurement func,Masuk fungsi ukur arus untuk
567,34,"tion,the current measurement value",melihat bacaan semasa. Tekan
568,34," is displayed,press<HOLD>to lock t",<HOLD> untuk mengunci bacaan dan
569,34,"he measurement value,press<F1>for",<F1> untuk sifar. Pintaskan probe
570,34,"zeroing.When using, short connecte","merah dan hitam, tahan, kemudian"
571,34,"d the red and black probe,and hold",tekan <F1>. Tekan <Fn> untuk tukar
572,34," it, and then press <F1>. <Fn>for",DC/AC. Tekan <F2> untuk tukar jack
573,34,"switching function mode,press <Fn>",ukur. mA hijau bermaksud probe
574,34,to switch DC voltage/AC voltage.,merah pada jack mA; 20A kuning
575,34,Press <F2> to switch the measureme,bermaksud probe merah pada jack
576,34,"nt jack.If it shows mA (green), it",20A. Julat arus 0-200mA.
577,34, means that the red probe is inser,
578,34,ted from the mA jack for measureme,
579,34,"nt, if it shows 20A (yellow), whic",
580,34,h means that the red probe is inse,
581,34,rted from the 20A jack for measure,
582,34,ment. Current measurement range is,
583,34, 0-200mA.,
584,34,4.Resistance Measurement,4.Ukur Rintangan
585,34,Enter the resistance measurement f,Masuk fungsi ukur rintangan untuk
586,34,"unction,the current measurement va",melihat bacaan semasa. Tekan
587,34,"lue is displayed,press<HOLD>to loc",<HOLD> untuk mengunci bacaan dan
588,34,"k the measurement value,press<F1>f",<F1> untuk sifar. Pintaskan probe
589,34,"or zeroing.When using, short conne","merah dan hitam, tahan, kemudian"
590,34,"cted the red and black probe,and h",tekan <F1>. Tekan <Fn> untuk tukar
591,34,"old it, and then press <F1>. <Fn>f",paparan rintangan atau voltan
592,34,"or switching function mode,press <",diod. Fungsi ini mengukur
593,34,Fn> to switch resistance display/,rintangan dan jatuhan voltan
594,34,diode voltage display. This functi,hadapan diod tanpa penukaran
595,34,on item simultaneously measures th,manual. Rintangan maks 5MOhm dan
596,34,e resistance value and the forward,julat bertukar automatik. Jatuhan
597,34, voltage drop of the diode without,hadapan diod maks 2.4V. Jika
598,34, conversion.The max.measuring resi,"rintangan di bawah 20 Ohm, bunyi"
599,34,"sance is up to 5MΩ,and the range",amaran menandakan keadaan
600,34,is automatically converted. The ma,"rintangan rendah, berguna untuk"
601,34,x.forward voltage drop of the diod,memeriksa litar pintas.
602,34,e is 2.4V. When the measured resis,
603,34,"tance is lower than 20 Ω,a prompt",
604,34, tone will sound to indicate the,
605,34,"low-resistance status,which is con",
606,34,venient for judging whether the ci,
607,34,rcuit is short-out during circuit,
608,34,inspection.,
609,34,5.Oscilloscope,5.Osiloskop
610,34,"Enter the oscilloscope function,th",Masuk fungsi osiloskop untuk
611,34,e waveform of current measured val,melihat bentuk gelombang nilai
612,34,ue  is displayed.Press<HOLD>to loc,yang diukur. Tekan <HOLD> untuk
613,34,"k the current status,<↑>/<↓>/<←",kunci keadaan semasa.
614,34,">/<→>makes the waveform move up,",<UP>/<DOWN>/<LEFT>/<RIGHT>
615,34,"down, left and right respectively.",menggerakkan bentuk gelombang.
616,34,Under normal measurement status:,"Dalam keadaan normal, <UP>"
617,34,<↑> means the voltage division va,mengecilkan nilai pembahagi
618,34,"lue decreases, <down> means the vo","voltan, <DOWN> membesarkan nilai"
619,34,"ltage division value increases, <l","itu, <LEFT> menambah masa imbasan,"
620,34,eft> means the detection time incr,dan <RIGHT> mengurangkan masa
621,34,"eases, <right> means the detection",imbasan. <F1> mengalih aras
622,34," time decreases, <F1>means positiv","trigger positif, <F2> negatif."
623,34,"e shift of trigger level, while<F2",Julat bentuk gelombang hingga
624,34,>means negative shift. The voltage,1000V dan julat bertukar
625,34,"waveform range is up to 1000V, and",automatik.
626,34, the range is automatically conver,
627,34,ted.,
628,34,6.Ignition Pulse Test,6.Ujian nadi nyalaan
629,34,This function is applicable to the,Fungsi ini untuk ujian isyarat
630,34,high-voltage signal test of gasoli,voltan tinggi nyalaan enjin petrol
631,34,ne engine ignition of automobiles,pada kereta dan motosikal.
632,34,"and motorcycles,and detects the hi","Sambungkan sensor isyarat nyalaan,"
633,34,gh-voltage signal of vehicle ignit,"masuk antara muka ujian, dan"
634,34,ion. connects the ignition signal,dekatkan kepala sensor ke wayar
635,34,"sensor, enters the test interface,",voltan tinggi nyalaan. Bentuk
636,34,and puts the sensor head (signal s,gelombang nyalaan akan dipaparkan.
637,34,ensing area) close to the high-vol,Jika kenderaan tiada wayar voltan
638,34,tage wire of vehicle ignition sign,"tinggi luaran, dekatkan sensor ke"
639,34,"al,then the waveform of the igniti",gegelung nyalaan; isyarat mungkin
640,34,on signal will be displayed. If it,lebih kecil. Tekan <F1> untuk
641,34,is a vehicle that can be ignited d,"tukar mod enjin 4-lejang, 2-lejang"
642,34,irectly and there is no external h,atau distributor. <HOLD> mengunci
643,34,"igh-voltage wire, you can put the",keadaan semasa. Dalam bacaan
644,34,sensor head close to the ignition,"normal, <UP> mengecilkan pembahagi"
645,34,"high-voltage coil, and the wavefor","voltan, <DOWN> membesarkan, <LEFT>"
646,34,m of the ignition signal will be d,"menambah masa imbasan, dan <RIGHT>"
647,34,"isplayed. At this time, the signal",mengurangkannya.
648,34,"strength will be relatively small,",
649,34,so take care of it. Press<F1> to s,
650,34,"witch the engine mode, which can",
651,34,be switched to 4-stroke/2-stroke/d,
652,34,istributor mode. The common car en,
653,34,"gine is 4-stroke, and some motorcy",
654,34,cle engines are 2-stroke. Old engi,
655,34,nes will use the distributor to di,
656,34,stribute high-voltage signals. Eng,
657,34,ine speed can be displayed in 4-st,
658,34,roke/2-stroke mode. <HOLD> is to,
659,34,"lock the current state, under norm",
660,34,al measurement state: <↑> means t,
661,34,he voltage division value decrease,
662,34,"s, <↓> means the voltage division",
663,34,"value increases,<←>means increase",
664,34,"s the scan time,<→> means the sca",
665,33,n time decreases.,
666,34,7.Frequency Measurement,7.Ukur Frekuensi
667,34,"Enter the frequency measurement,th",Masuk fungsi ukur frekuensi untuk
668,34,e current measurement value is dis,melihat nilai semasa. Tekan <HOLD>
669,34,"played,press <HOLD> to lock the cu","untuk mengunci keadaan semasa, dan"
670,34,"rrent state, press <Fn>to switch",<Fn> untuk tukar ke mod osiloskop.
671,34,to the oscilloscope mode. The freq,Julat frekuensi hingga 1MHz dan
672,34,uency measurement range is up to,voltan isyarat dikawal secara
673,34,"1MHz, and the signal voltage is ad",adaptif.
674,34,aptively controlled.,
675,13,1.Boot Screen,1.Skrin Mula
676,34,"Power on, enter the boot screen, p",Hidupkan peranti dan tunggu skrin
677,34,ress any key to enter the main men,mula. Tekan mana-mana butang untuk
678,34,"u, the battery and charging status",masuk ke menu utama. Status bateri
679,34, are displayed in the upper right,dan pengecasan dipaparkan di
680,34,corner of the screen.Press the dir,penjuru kanan atas. Gunakan butang
681,34,"ection keys to move the cursor,pre","arah untuk gerak kursor, <OK>"
682,34,"ss <OK>to enter functions,<ESC>to","untuk masuk fungsi, dan <ESC>"
683,34,exit.Press light key to turn on/of,untuk keluar. Butang lampu
684,34,"f the light,<HOLD> key to lock the","hidup/matikan lampu, <HOLD>"
685,34," display value during the test,<F1","mengunci nilai bacaan, <F1><F2>"
686,34, ><F2>to operate according to the,"ikut arahan paparan, dan <Fn>"
687,34," prompts, <Fn> to switch the funct",menukar mod fungsi.
688,34, ion mode in the function items.,
689,34,2.Voltage Measurement,2.Ukur Voltan
690,34,Enter the voltage measurement func,Masuk fungsi ukur voltan untuk
691,34,"tion,the current measurement value",melihat bacaan semasa. Tekan
692,34," is displayed,press<HOLD>to lock t",<HOLD> untuk mengunci bacaan dan
693,34,"he measurement value,press<F1>for","<F1> untuk sifar. Semasa guna,"
694,34,"zeroing.When using, short connecte","pintaskan probe merah dan hitam,"
695,34,"d the red and black probe,and hold","tahan, kemudian tekan <F1>. Tekan"
696,34," it, and then press <F1>. <Fn>for",<Fn> untuk tukar mod DC/AC/bentuk
697,34,"switching function mode,press <Fn>",gelombang. Julat voltan hingga
698,34,to switch DC voltage/AC voltage/wa,"1000V; DC maks 1000V, AC maks"
699,34,veform display. The voltage measur,"700V, dan julat bertukar"
700,34,"ement range is up to 1000V, the ma",automatik.
701,34,"x.DC voltage is 1000V, the max.AC",
702,34,"voltage is 700V, and the range is",
703,34,automatically converted.,
704,34,3.Current Measurement,3.Ukur Arus
705,34,Enter the current measurement func,Masuk fungsi ukur arus untuk
706,34,"tion,the current measurement value",melihat bacaan semasa. Tekan
707,34," is displayed,press<HOLD>to lock t",<HOLD> untuk mengunci bacaan dan
708,34,"he measurement value,press<F1>for",<F1> untuk sifar. Pintaskan probe
709,34,"zeroing.When using, short connecte","merah dan hitam, tahan, kemudian"
710,34,"d the red and black probe,and hold",tekan <F1>. Tekan <Fn> untuk tukar
711,34," it, and then press <F1>. <Fn>for",DC/AC. Tekan <F2> untuk tukar jack
712,34,"switching function mode,press <Fn>",ukur. mA hijau bermaksud probe
713,34,to switch DC voltage/AC voltage.,merah pada jack mA; 20A kuning
714,34,Press <F2> to switch the measureme,bermaksud probe merah pada jack
715,34,"nt jack.If it shows mA (green), it",20A. Julat arus 0-200mA.
716,34, means that the red probe is inser,
717,34,ted from the mA jack for measureme,
718,34,"nt, if it shows 20A (yellow), whic",
719,34,h means that the red probe is inse,
720,34,rted from the 20A jack for measure,
721,34,ment. Current measurement range is,
722,34, 0-200mA.,
723,34,4.Resistance Measurement,4.Ukur Rintangan
724,34,Enter the resistance measurement f,Masuk fungsi ukur rintangan untuk
725,34,"unction,the current measurement va",melihat bacaan semasa. Tekan
726,34,"lue is displayed,press<HOLD>to loc",<HOLD> untuk mengunci bacaan dan
727,34,"k the measurement value,press<F1>f",<F1> untuk sifar. Pintaskan probe
728,34,"or zeroing.When using, short conne","merah dan hitam, tahan, kemudian"
729,34,"cted the red and black probe,and h",tekan <F1>. Tekan <Fn> untuk tukar
730,34,"old it, and then press <F1>. <Fn>f",paparan rintangan atau voltan
731,34,"or switching function mode,press <",diod. Fungsi ini mengukur
732,34,Fn> to switch resistance display/,rintangan dan jatuhan voltan
733,34,diode voltage display. This functi,hadapan diod tanpa penukaran
734,34,on item simultaneously measures th,manual. Rintangan maks 5MOhm dan
735,34,e resistance value and the forward,julat bertukar automatik. Jatuhan
736,34, voltage drop of the diode without,hadapan diod maks 2.4V. Jika
737,34, conversion.The max.measuring resi,"rintangan di bawah 20 Ohm, bunyi"
738,34,"sance is up to 5MΩ,and the range",amaran menandakan keadaan
739,34,is automatically converted. The ma,"rintangan rendah, berguna untuk"
740,34,x.forward voltage drop of the diod,memeriksa litar pintas.
741,34,e is 2.4V. When the measured resis,
742,34,"tance is lower than 20 Ω,a prompt",
743,34, tone will sound to indicate the,
744,34,"low-resistance status,which is con",
745,34,venient for judging whether the ci,
746,34,rcuit is short-out during circuit,
747,34,inspection.,
748,34,5.Oscilloscope,5.Osiloskop
749,34,"Enter the oscilloscope function,th",Masuk fungsi osiloskop untuk
750,34,e waveform of current measured val,melihat bentuk gelombang nilai
751,34,ue  is displayed.Press<HOLD>to loc,yang diukur. Tekan <HOLD> untuk
752,34,"k the current status,<↑>/<↓>/<←",kunci keadaan semasa.
753,34,">/<→>makes the waveform move up,",<UP>/<DOWN>/<LEFT>/<RIGHT>
754,34,"down, left and right respectively.",menggerakkan bentuk gelombang.
755,34,Under normal measurement status:,"Dalam keadaan normal, <UP>"
756,34,<↑> means the voltage division va,mengecilkan nilai pembahagi
757,34,"lue decreases, <down> means the vo","voltan, <DOWN> membesarkan nilai"
758,34,"ltage division value increases, <l","itu, <LEFT> menambah masa imbasan,"
759,34,eft> means the detection time incr,dan <RIGHT> mengurangkan masa
760,34,"eases, <right> means the detection",imbasan. <F1> mengalih aras
761,34," time decreases, <F1>means positiv","trigger positif, <F2> negatif."
762,34,"e shift of trigger level, while<F2",Julat bentuk gelombang hingga
763,34,>means negative shift. The voltage,1000V dan julat bertukar
764,34,"waveform range is up to 1000V, and",automatik.
765,34, the range is automatically conver,
766,34,ted.,
767,33,7.Analog signal test,7.Ujian isyarat analog
768,34,This function can simulate and out,Fungsi ini mensimulasi output
769,34,put square wave and sine wave. It,gelombang petak dan sinus. Ia
770,34,is suitable for vehicle line detec,sesuai untuk ujian talian
771,34,tion or ECU analog signal input te,kenderaan atau input isyarat
772,34,st. Connect the main detection lin,analog ECU. Sambungkan kabel utama
773,34,"e, use battery clamps to connect",dan klip bateri ke bekalan 12V
774,34,"12V battery power supply, and out",untuk output gelombang petak 12V.
775,34,put 12V square wave signals. With,"Tanpa bekalan luar, ia boleh"
776,34,"out external power supply, it can",output gelombang petak 4.5V.
777,34,output 4.5V square wave signal. T,Gelombang petak keluar dari
778,34,he square wave signal is output f,"terminal [K line], gelombang sinus"
779,34,"rom the [K line] terminal, the si","dari talian isyarat, dan talian 5V"
780,34,ne wave signal is output from the,mengeluarkan sinus 0-4.5V. Tekan
781,34,"signal line, and the 5V signal li","<OK> untuk hidup/matikan output,"
782,34,ne outputs a sine wave of 0-4.5V.,"butang arah melaras frekuensi,"
783,34,"When entering the function items,","<F1><F2> melaras duty cycle, dan"
784,34,a prompt message will be displayed,<Fn> masuk kesan isyarat. Output
785,34,".Press <OK> to control,turn on/off",analog tidak dimatikan ketika
786,34,"signal output,the direction keys",masuk kesan isyarat.
787,34,to adjust the frequency of the ana,
788,34,"log signal, <F1><F2> to adjust the",
789,34,"duty cycle of the square wave,pres",
790,34,s the <Fn> key to enter the signal,
791,34,"detection, the analog signal outpu",
792,34,t will not be turned off when ente,
793,34,ring the signal detection.,
794,34,6.Adjustable voltage signal test.,6.Ujian isyarat voltan
795,34,This function can simulate the out,Fungsi ini mensimulasi voltan
796,34,put sensor's voltage and square wa,"sensor dan gelombang petak, sesuai"
797,34,"ve, which is suitable for simulati",untuk simulasi isyarat sensor
798,34,"ng sensor signals on vehicles,such",kenderaan seperti sensor suhu dan
799,34," as temperature sensors, throttle",throttle position. Voltan output
800,34,position sensors. The simulated ou,simulasi 0V-4.5V dan gelombang
801,34,"tput signal voltage is 0V-4.5V,and",petak 4.5V boleh dikeluarkan.
802,34, the 4.5V square wave signal can,Gelombang petak keluar dari
803,34,be outputted. The square wave sign,"terminal [C01-K], manakala voltan"
804,34,al is outputted from [C01-K] termi,boleh laras dari terminal
805,34,"nal, and the adjustable voltage si",[C01-S1]. Gunakan butang arah
806,34,gnal from [C01-S1] terminal. Enter,"untuk melaras voltan simulasi,"
807,34," the function interface, use the",<F1><F2> untuk frekuensi gelombang
808,34,direction key to adjust the simula,"petak, dan <Fn> untuk masuk kesan"
809,34,"ted voltage signal, and use <F1><",isyarat. Output simulasi tidak
810,34,F2> to adjust the frequency of the,dimatikan ketika masuk kesan
811,34, square wave. Press <Fn>key to ent,isyarat.
812,34,er the signal detection. In case,
813,34,"of entering the signal detection,",
814,34,the simulated signal output will,
815,34,not be turned off.,
