index,source,translation
507,"as son de 2 trazos, los motores má",                                   
508,s antiguos usarán una centralita  ,                                   
509,para distribuir señales de alto vo,                                   
510,ltaje. en el modo de 4 trazos / 2 ,                                  
511,"trazos, puede mostrar la velocidad",                                  
512, del motor. Presione <HOLD> para  ,                                  
513,bloquear el estado actual. En el  ,                                  
514,estado de medición normal: <Arriba,                                   
515,">, el valor del índice de visualiz",                                   
516,"ación de voltaje disminuye, <Abajo",                                   
517,">, el valor del índice de visualiz",                                   
518,ación de voltaje aumenta. <Izquier,                                   
519,"do> el tiempo de escaneo aumenta, ",                                  
520,<Derecho> el tiempo de escaneo dis,                                  
521,minuye.                           ,                                  
522,12.Detección de datos de K/Lin    ,12.Kesan data K/Lin                
523,Esta función puede detectar los da,1. Kesan data komunikasi talian K  
524,tos de comunicación de la línea K ,   kenderaan.                       
525,"del vehículo, adecuada para detect",2. Semak penghantaran isyarat pada 
526,ar si la línea de comunicación del,   talian komunikasi.               
527, vehículo tiene transmisión de señ,3. Sambung kabel utama.              
528,"al, conectar la línea de detección",4. Wayar ground ke pin ground       
529," principal, conectar el cable de  ",   (lubang 5 OBD-II) atau ke badan
530,puesta a tierra de la señal al pin,   kenderaan.                      
531, de puesta a tierra del vehículo  ,5. Talian K ke pin isyarat K       
532,(como el orificio No.5 de OBD-II) ,   (lubang 7 OBD-II).             
533,y conectarlo a la plancha cuando  ,6. Data diterima: nilai heks.     
534,"es inconveniente acceder, y conect",7. <F1>: padam data.              
535,ar la línea de señal de la línea K,8. <LEFT>/<RIGHT>: laras kadar baud. 
536, al pin de señal de la línea K del,9. Kadar baud mesti sepadan untuk   
537, vehículo (como el orificio No.7  ,   terima data betul.              
538,de OBD-II). Ingrese al ítem de fun,10. Guna dengan dekoder untuk semak
539,ción para mostrar los datos recibi,   kerosakan talian.               
540,"dos actualmente, que es un valor  ",                                  
541,hexadecimal. Presione <F1> para bo,                                  
542,"rrar los datos indicados, presione",                                  
543, las teclas de dirección izquierda,                                   
544, y derecha para ajustar la velocid,                                  
545,"ad en baudios de comunicación, y  ",                                   
546,la velocidad en baudios de la seña,                                   
547,l puede ser coherente con la veloc,                                  
548,idad en baudios establecida para  ,                                  
549,recibir los datos correctos. Esta ,                                  
550,función se puede utilizar con deco,                                   
551,dificadores profesionales para ver,                                  
552,ificar fallos en la línea de comun,                                   
553,icación.                          ,                                   
554,13.Detección de datos de línea CAN,13.Kesan data talian CAN            
555,Esta función puede detectar la com,1. Kesan komunikasi data CAN bus   
556,unicación de datos del bus CAN del,   kenderaan.                      
557," vehículo, adecuada para detectar ",2. Semak penghantaran isyarat pada 
558,si la línea de comunicación del ve,   talian komunikasi.               
559,"hículo tiene transmisión de señal,",3. Sambung kabel utama.              
560,conectar la línea de detección pri,4. Wayar ground ke pin ground       
561,"ncipal, conectar el cable de puest",   (lubang 5 OBD-II) atau badan   
562,a a tierra de la señal al pin de  ,   kenderaan.                      
563,puesta a tierra del vehículo (como,5. CAN+ ke pin CAN+ kenderaan      
564," el orificio No.5 de OBD-II), cone",   (lubang 6 OBD-II).             
565,ctarlo a la plancha cuando es inco,6. CAN- ke pin CAN- kenderaan     
566,"nveniente acceder, conectar la lín",   (lubang 14 OBD-II).             
567,ea de señal CAN + al pin de señal ,7. Data diterima: nilai heks.       
568,CAN + del vehículo (como el orific,8. <F1>: padam data.               
569,io No.6 de OBD-II) y conectar la  ,9. <LEFT>/<RIGHT>: laras kadar    
570,línea de señal CAN- al pin de seña,   baud.                             
571,l CAN- del vehículo (como el orifi,10. Data diterima hanya jika kadar 
572,cio No.14 de OBD-II). Ingrese al  ,   baud sepadan.                  
573,ítem de función para mostrar los  ,11. Guna dengan dekoder untuk semak 
574,"datos recibidos actualmente, que  ",   kerosakan talian.              
575,es un valor hexadecimal. Presione ,                                  
576,<F1> para borrar los datos indica ,                                  
577,"dos, presione las teclas de direc ",                                  
578,ción izquierda y derecha para aju ,                                   
579,star la velocidad en baudios de   ,                                  
580,"comunicación, y los datos solo se ",                                   
581, pueden recibir cuando la velocid ,                                  
582,ad en baudios de la señal es cons ,                                   
583,istente con la velocidad en baudi ,                                  
584,os establecida. Esta función se   ,                                   
585,puede utilizar con decodificadore ,                                  
586,s profesionales para verificar fa ,                                  
587,llos en la línea de comunicación. ,                                    
588,14.Medición de frecuencia         ,14.Ukur frekuensi                  
589,Ingrese al ítem de función del med,1. Masuk item ukur frekuensi:       
590,"idor de frecuencia, muestre el val",   Nilai semasa probe dipaparkan. 
591,"or medido del sondeo actual, presi",2. <HOLD>: kunci keadaan semasa.  
592,one <HOLD> para bloquear el estado,3. <Fn>: tukar ke mod osiloskop.  
593," actual, presione <Fn> para cambia",4. Julat frekuensi sehingga 1MHz. 
594,r al modo osciloscopio. El rango  ,5. Voltan isyarat: kawalan        
595,de medición de frecuencia es de ha,   adaptif.                        
596,"sta 1MHz, y el voltaje de la señal",                                   
597, es de control adaptativo.        ,                                  
598,1.Pantalla de inicio              ,1.Skrin mula                      
599,"Encienda, muestre la interfaz de e",1. Hidupkan peranti.              
600,"ncendido, presione cualquier tecla",2. Tekan sebarang butang untuk    
601,"para ingresar al menú principal,la",   masuk ke menu utama.            
602,esquina superior derecha de la pan,3. Bateri dan status cas di       
603,talla muestra la batería y el esta,   penjuru kanan atas skrin.       
604,"do de carga, presione la tecla de ",4. Butang arah: gerakkan kursor.  
605,"dirección para mover el cursor, pr",5. <OK>: masuk item fungsi.        
606,esione la tecla <OK> para ingresar,6. <ESC>: keluar fungsi semasa.   
607,"al ítem de función, presione la te",7. Butang lampu: hidup/padam latar. 
608,cla <ESC> para salir de la función,8. <HOLD>: kunci nilai paparan     
609,"actual, presione la tecla de luz  ",   semasa ujian.                  
610,para encender / apagar la luz de  ,9. <F1><F2>: operasi ikut fungsi. 
611,"iluminación, presione la tecla <HO",10. <Fn>: tukar mod fungsi.        
612,LD> para bloquear el valor de visu,                                  
613,"alización en la prueba, presione  ",                                   
614,la tecla <F1><F2> para operar segú,                                   
615,"n las funciones, presione la tecla",                                  
616, <Fn> para cambiar el modo de func,                                  
617, ión en el ítem de función.       ,                                     
618,2.Medición de voltaje             ,2.Ukur voltan                      
619,Ingrese al ítem de función de medi,1. Masuk item ukur voltan:          
620,"ción de voltaje, muestre el valor ",   Bacaan semasa probe dipaparkan. 
621,"de medición del sondeo actual, pre",2. <HOLD>: kunci nilai ukur.       
622,sione <HOLD> para bloquear el valo,3. <F1>: sifar semula.            
623,"r medido, presione <F1> para volve",4. Sifar: pintas probe merah dan  
624,"r a cero y corregir. Al usar, prim","   hitam, tahan, tekan <F1>.      "
625,ero conecte en cortocircuito el so,5. <Fn>: mod DC / AC / bentuk     
626,"ndeo rojo y negro, manténgalo pres",   gelombang.                      
627,"ionado, presione <F1> nuevamente. ",6. Julat voltan sehingga 1000V.   
628,Presione <Fn> para cambiar el modo,"7. DC maks 1000V, AC maks 700V.   "
629,"de función, presione <Fn>puede cam",8. Julat bertukar automatik.       
630,biar a visualización de voltaje   ,                                   
631,DC / voltaje AC / forma de onda.  ,                                  
632,El rango de medición de voltaje es,                                   
633,"de hasta 1000V, el voltaje máximo ",                                   
634,"DC es de 1000V, el voltaje máximo ",                                   
635,AC es de 700V y el rango se convie,                                  
636,rte automáticamente.              ,                                   
637,3.Medición de corriente           ,3.Ukur arus                        
638,Ingrese al ítem de función de medi,1. Masuk item ukur arus:            
639,"ción de corriente, muestre la medi",   Bacaan semasa probe dipaparkan. 
640,"da actual del sondeo, presione <HO",2. <HOLD>: kunci nilai ukur.      
641,"LD> para bloquear el valor medido,",3. <F1>: sifar semula.            
642,presione <F1> para volver a cero y,4. Sifar: pintas probe merah dan  
643,"corregir. Al usar, primero conecte","   hitam, tahan, tekan <F1>.      "
644,en cortocircuito el sondeo rojo y ,5. <Fn>: mod arus DC / AC.        
645,"negro, manténgalo presionado, pres",6. <F2>: tukar soket ukuran.       
646,ione <F1>nuevamente. Presione <Fn>,7. mA (hijau): probe merah di     
647," para cambiar el modo de función, ",   soket mA.                       
648,presione <Fn> para cambiar a corri,8. 20A (kuning): probe merah di   
649,ente DC / corriente AC. Presione  ,   soket 20A.                     
650,<F2> para cambiar al conector de  ,9. Julat arus 0-200mA.            
651,"medición, mA (verde) significa que",                                   
652,el sondeo rojo se inserta desde el,                                  
653,"conector mA para medir, y 20A (ama",                                  
654,rillo) significa que el sondeo roj,                                  
655,o se inserta desde el conector 20A,                                  
656,para medir. El rango de medición  ,                                   
657,de corriente es 0-200mA.          ,                                  
658,4.Medición de resistencia         ,4.Ukur rintangan                   
659,Ingrese al ítem de función de medi,1. Masuk item ukur rintangan:       
660,"ción de resistencia, muestre la me",   Bacaan semasa probe dipaparkan. 
661,"dida actual del sondeo, presione  ",2. <HOLD>: kunci nilai ukur.      
662,<HOLD> para bloquear el valor medi,3. <F1>: sifar semula.            
663,"do, presione <F1> para volver a ce",4. Sifar: pintas probe merah dan  
664,"ro y corregir. Al usar, primero co","   hitam, tahan, tekan <F1>.      "
665,necte en cortocircuito el sondeo  ,5. <Fn>: paparan rintangan /      
666,"rojo y negro, manténgalo presiona ",   voltan diod.                    
667,"do, presione <F1> nuevamente.     ",6. Ukur rintangan dan susut voltan
668,Presione <Fn>para cambiar el modo ,   hadapan diod serentak.         
669,"de función, presione <Fn>para camb",7. Rintangan maks 5Mohm.           
670,iar a la visualización de resisten,8. Susut diod sehingga 2.4V.       
671,cia / visualización de voltaje de ,9. Bawah 20 ohm: bunyi amaran      
672,diodo.         Esta función mide  ,   (rintangan rendah).             
673,el valor de resistencia y la caída,10. Guna untuk semak litar pintas. 
674, de voltaje directo del diodo al  ,                                  
675,"mismo tiempo, sin conversión, el  ",                                   
676,rango de medición de resistencia  ,                                   
677,es un valor de resistencia máximo ,                                   
678,de 5MΩ. El rango se convierte aut ,                                   
679,omáticamente. La caída de voltaje ,                                    
680, directo del diodo es de hasta    ,                                  
681,2.4V.  Cuando la resistencia medi ,                                  
682,"da es inferior a 20 ohmios, se em ",                                  
683,itirá un sonido de consejo para   ,                                   
684,indicar el estado de baja resiste ,                                  
685,"ncia, lo cual es conveniente para ",                                  
686, determinar si la línea está en   ,                                    
687,cortocircuito durante la inspecci ,                                  
688,ón del circuito.                  ,                                   
689,5.Osciloscopio                    ,5.Osiloskop                       
690,Ingrese al ítem de función del osc,1. Masuk item osiloskop:            
691,"iloscopio, muestre la forma de ond",   Bentuk gelombang dipaparkan.   
692,a del valor medido del sondeo actu,2. <HOLD>: kunci keadaan semasa.  
693,"al, presione <HOLD> para bloquear ",3. Keadaan berkunci:              
694,"el estado actual, bloquee el estad",   <UP>/<DOWN>/<LEFT>/<RIGHT>:    
695,o de medición: presione <Arriba>  ,      gerakkan gelombang.          
696,para que la forma de onda se mueve,4. Keadaan normal:                
697," hacia arriba, presione <Abajo> pa",   <UP>: pembahagi voltan kecil.  
698,ra que la forma de onda se mueve  ,   <DOWN>: pembahagi voltan besar.
699,"hacia abajo, presione <Izquierdo> ",   <LEFT>: masa imbasan tambah.   
700,para que la forma de onda se mueve,   <RIGHT>: masa imbasan kurang.  
701," hacia la izquierda, presione <Der",5. <F1>/<F2>: anjak trigger (+/-).
702,echa> para que la forma de onda se,6. Julat sehingga 1000V.          
703, mueve hacia la derecha. En estado,7. Julat bertukar automatik.      
704," de medición normal: <Arriba>, el ",                                   
705,valor del índice de visualización ,                                    
706,"de voltaje disminuye. <Abajo>, el ",                                  
707,valor del índice de visualización ,                                    
708,"de voltaje aumenta. <Izquierdo>,  ",                                  
709,el tiempo de escaneo aumenta. <De ,                                  
710,"recho>, el tiempo de escaneo dism ",                                  
711,"inuye. <F1>, desplazamiento posit ",                                  
712,"ivo del nivel de disparo. <F2>,   ",                                  
713,desplazamiento negativo del nivel ,                                  
714, de disparo. El rango de medición ,                                   
715, de la forma de onda de voltaje   ,                                  
716,"es de hasta 1000V, y el rango se  ",                                  
717,convierte automáticamente.        ,                                   
718,6.Prueba de pulso de encendido    ,6.Ujian nadi nyalaan              
719,Esta función es adecuada para la  ,1. Uji isyarat voltan tinggi       
720,prueba de señal de alto voltaje de,   nyalaan enjin petrol.           
721, encendido de motores de gasolina ,2. Sambung sensor isyarat nyalaan.
722,"de automóviles y motocicletas, y  ",3. Letak kepala sensor (kawasan    
723,detecta la señal de alto voltaje  ,   kesan) dekat wayar voltan tinggi
724,de encendido de vehículos. Conecte,   nyalaan.                        
725, el sensor de la señal de encendid,4. Bentuk gelombang nyalaan        
726,"o, ingrese a la interfaz de prueba",   dipaparkan.                    
727, y coloque la cabeza del sensor (á,5. Tiada wayar luar: dekatkan      
728,rea de detección de señal) cerca  ,   sensor ke gegelung nyalaan.      
729,de la línea de alto voltaje de la ,6. Isyarat lebih kecil: perhatikan 
730,señal de encendido del vehículo pa,   dengan teliti.                   
731,ra mostrar la forma de onda de la ,7. <F1>: mod enjin 4-lejang /     
732,señal de encendido. Si se trata   ,   2-lejang / distributor.         
733,de un vehículo que se enciende dir,8. Kereta biasa: 4-lejang.         
734,"ectamente, no hay una línea extern",9. Sesetengah motosikal: 2-lejang. 
735,"a de alto voltaje, la cabeza del  ",10. Enjin lama: distributor.      
736,sensor puede estar cerca de la bob,11. Mod 4/2-lejang papar rpm.     
737,"ina de alto voltaje de encendido, ",12. <HOLD>: kunci keadaan semasa. 
738,que puede mostrar la forma de onda,13. Keadaan normal:               
739," de la señal de encendido, en este",   <UP>: pembahagi voltan kecil.   
740, momento la intensidad de la señal,   <DOWN>: pembahagi voltan besar. 
741," será relativamente pequeña, prest",   <LEFT>: masa imbasan tambah.     
742,e atención a la observación. Presi,   <RIGHT>: masa imbasan kurang.    
743,one la tecla <F1> para cambiar al ,                                  
744,"modo de motor, puede cambiar al mo",                                  
745,do de 4 trazos / 2 trazos / centra,                                  
746,"lita, los motores de automóviles  ",                                   
747,comúnmente utilizados son de 4 tra,                                   
748,"zos, algunos motores de motociclet",                                  
749,"as son de 2 trazos, los motores má",                                   
750,s antiguos usarán una centralita  ,                                   
751,para distribuir señales de alto vo,                                   
752,ltaje. en el modo de 4 trazos / 2 ,                                  
753,"trazos, puede mostrar la velocidad",                                  
754, del motor. Presione <HOLD> para  ,                                  
755,bloquear el estado actual. En el  ,                                  
756,estado de medición normal: <Arriba,                                   
757,">, el valor del índice de visualiz",                                   
758,"ación de voltaje disminuye, <Abajo",                                   
759,">, el valor del índice de visualiz",                                   
760,ación de voltaje aumenta. <Izquier,                                   
761,"do> el tiempo de escaneo aumenta, ",                                  
762,<Derecho> el tiempo de escaneo dis,                                  
763,minuye.                           ,                                  
764,7.Medición de frecuencia          ,7.Ukur frekuensi                   
765,Ingrese al ítem de función del med,1. Masuk item ukur frekuensi:       
766,"idor de frecuencia, muestre el val",   Nilai semasa probe dipaparkan. 
767,"or medido del sondeo actual, presi",2. <HOLD>: kunci keadaan semasa.  
768,one <HOLD> para bloquear el estado,3. <Fn>: tukar ke mod osiloskop.  
769," actual, presione <Fn> para cambia",4. Julat frekuensi sehingga 1MHz. 
770,r al modo osciloscopio. El rango  ,5. Voltan isyarat: kawalan        
771,de medición de frecuencia es de ha,   adaptif.                        
772,"sta 1MHz, y el voltaje de la señal",                                   
773, es de control adaptativo.        ,                                  
